input,explanation,answer
Propeller engineer carries west (8),' propeller ' is the definition. (airscrew is a kind of propeller) ' engineer carries west ' is the wordplay. ' engineer ' indicates an anagram. ' west ' becomes ' w ' ('W' can be a synonym of 'west') . ' carries ' with letters rearranged gives ' airscre '. ' airscre '+' w '=' AIRSCREW ',airscrew
"To a woman, it can be intoxicating (5)",' it can be intoxicating ' is the definition. The definition suggests a singular noun which matches the answer. ' to a woman ' is the wordplay. ' a woman ' becomes ' kay ' (**) . ' to '+' kay '=' TOKAY ',tokay
High honour in coming in to reduce hate (9),' hate ' is the definition. (abominating is a kind of hating) ' high honour in coming in to reduce ' is the wordplay. ' high honour ' becomes ' om ' (Order of Merit) . ' coming in to ' indicates putting letters inside. ' reduce ' becomes ' abate '  . ' om '+' in '=' omin ' ' omin ' going within ' abate ' is ' ABOMINATE '.,abominate
Little beast always let out (7),' little beast ' is the definition.  ' always let out ' is the wordplay. ' always ' becomes ' ever ' ('ever' can be a synonym of 'always') . ' out ' is an insertion indicator. ' ever ' put within ' let ' is ' LEVERET '.,leveret
Authorised captive queen to be dropped into English sea (9),' authorised ' is the definition. (empowering is a kind of authorising) ' captive queen to be dropped into english sea ' is the wordplay. ' captive ' becomes ' pow ' (POW is an example) . ' queen ' becomes ' er ' (abbreviation for Elizabeth Regina) . ' to be dropped into ' is an insertion indicator. ' english ' becomes ' e ' (abbreviation) . ' sea ' becomes ' med ' (abbreviation of Mediterranean) . ' pow '+' er '=' power ' ' e '+' med '=' emed ' ' power ' inserted inside ' emed ' is ' EMPOWERED '.,empowered
Restrain revolutionary in ranks (6),' in ranks ' is the definition.  ' restrain revolutionary ' is the wordplay. ' restrain ' becomes ' tie ' (tying is a kind of restraining) . ' revolutionary ' becomes ' red '. ' tie '+' red '=' TIERED ',tiered
"Flexible prison sentence silly, ultimately (8)",' flexible ' is the definition. ('stretchy' can be a synonym of 'flexible') ' prison sentence silly ultimately ' is the wordplay. ' prison sentence ' becomes ' stretch '. ' ultimately ' suggests the final letters. The final letter of ' sill y ' is ' y '. ' stretch '+' y '=' STRETCHY ',stretchy
Huge tank carrying first of soldiers (4),' huge ' is the definition.  ' tank carrying first of soldiers ' is the wordplay. ' tank ' becomes ' vat '  . ' carrying ' indicates putting letters inside. ' first of ' says to take the initial letters. The initial letter of ' s oldiers ' is ' s '. ' vat ' enclosing ' s ' is ' VAST '.,vast
Rock found in ideal pudding served up in restaurant (9),"' restaurant ' is the definition.  ' rock found in ideal pudding served up ' is the wordplay. ' rock ' becomes ' tor ' (tor is a kind of rock**) . ' found in ' is an insertion indicator. ' ideal ' becomes ' ai ' (resembles 'At', slang for excellent) . ' pudding ' becomes ' tart '. ' served up ' is a reversal indicator. ' ai '+' tart '=' aitart ' ' aitart ' in reverse letter order is ' tratia '. ' tor ' put into ' tratia ' is ' TRATTORIA '. ' in ' acts as a link.",trattoria
Beats view from the south (4),"' beats ' is the definition.  ' view from the south ' is the wordplay. ' view ' becomes ' spot '. ' from the south ' says the letters should be written backwards (in a down clue, letters go up) . ' spot ' in reverse letter order is ' TOPS '.",tops
Deny detective's private (6),' deny ' is the definition. (thesaurus) ' detective's private ' is the wordplay. ' detective's ' becomes ' dis ' (Detective Inspector) . ' private ' becomes ' own '  . ' dis '+' own '=' DISOWN ',disown
Lowly nobles in pub on time (8),' lowly nobles ' is the definition. (barons as a group) ' pub on time ' is the wordplay. ' pub ' becomes ' bar '  . ' time ' becomes ' age ' (age is a kind of time) . ' bar '+' on '+' age '=' BARONAGE ' ' in ' is the link.,baronage
Studied colour on the radio (4),' studied ' is the definition.  ' colour on the radio ' is the wordplay. ' colour ' becomes ' red ' (red is a kind of colour) . ' on the radio ' shows a homophone (sound like). ' red ' sounds like ' READ '.,read
Private secretary hosts rough Victorian types? (6),' victorian types? ' is the definition. ' private secretary hosts rough ' is the wordplay. ' private secretary ' becomes ' ps ' (eg in PPS - parliamentary private secretary) . ' hosts ' indicates putting letters inside. ' rough ' becomes ' rude ' ('rude' can be similar in meaning to 'rough') . ' ps ' enclosing ' rude ' is ' PRUDES '.,prudes
"Group of biologists enter void without top-class guide (4,5)",' guide ' is the definition. (thesaurus) ' group of biologists enter void without top-class ' is the wordplay. ' group of biologists ' becomes ' deme ' (biological term for a group of related organisms) . ' enter ' is an insertion indicator. ' void ' becomes ' vacuum '. ' without ' is a deletion indicator. ' top-class ' becomes ' u ' (as in U and non-U speech) . ' vacuum ' with ' u ' removed is ' vacum '. ' deme ' inserted into ' vacum ' is ' VADE-MECUM '.,vade mecum
Rotten decorator for cakes in general? (7),' general? ' is the definition. (thesaurus) ' rotten decorator for cakes ' is the wordplay. ' rotten ' becomes ' off '  . ' decorator for cakes ' becomes ' icer '. ' off '+' icer '=' OFFICER ' ' in ' is the link.,officer
Graduate meeting royalty unexpectedly in town office (9),' town office ' is the definition. ' graduate meeting royalty unexpectedly ' is the wordplay. ' graduate ' becomes ' ma ' (abbreviation for Master of Arts) . ' meeting ' is a charade indicator (letters next to each other). ' unexpectedly ' indicates anagramming the letters. ' royalty ' anagrammed gives ' yoralty '. ' ma '+' yoralty '=' MAYORALTY ' ' in ' is the link.,mayoralty
Gratuity in post used as wage (7),' used as wage ' is the definition. (a stipend may form a salary) ' gratuity in post ' is the wordplay. ' gratuity ' becomes ' tip ' (as in a gratuity to a waiter) . ' in ' indicates putting letters inside. ' post ' becomes ' send ' (synonyms) . ' tip ' going inside ' send ' is ' STIPEND '.,stipend
Beginner left part of Austria (5),' part of austria ' is the definition. ('Tyrol' is part of 'austria') ' beginner left ' is the wordplay. ' beginner ' becomes ' tyro ' ('tyro' can be a synonym of 'beginner'**) . ' left ' becomes ' l ' (common abbreviation) . ' tyro '+' l '=' TYROL ',tyrol
Small piece about love seat that’s poisonous (9),"' that's poisonous ' is the definition. ' small piece about love seat ' is the wordplay. ' small piece ' becomes ' tad '. ' about ' indicates putting letters inside. ' love ' becomes ' o ' (In tennis, 'love' means 'zero') . ' seat ' becomes ' stool ' (stool is a kind of seat**) . ' tad ' placed around ' o ' is ' toad '. ' toad '+' stool '=' TOADSTOOL '",toadstool
"Earl not about to sit on spades, say, in posh clothes (4,4)","' posh clothes ' is the definition. ' earl not about to sit on spades say ' is the wordplay. ' earl ' becomes ' e '. ' about ' is a reversal indicator. ' to sit on ' means one lot of letters go next to another (in a down clue, some letters go on top of others) . ' spades say ' becomes ' suit ' (spades is an example of a card suit) . ' not ' written backwards gives ' ton '. ' e '+' ton '+' suit '=' ETON SUIT ' ' in ' is the link.",eton suit
Row after meeting of countries leads to release (7),' release ' is the definition. (unchaining is a kind of releasing) ' row after meeting of countries ' is the wordplay. ' row ' becomes ' chain '. ' after ' is a charade indicator (letters next to each other). ' meeting of countries ' becomes ' un ' (United Nations) . ' chain ' after ' un ' is ' UNCHAIN '. ' leads to ' is the link.,unchain
Old English cleric leaving clubs (7),' old english ' is the definition. (Anglian is an example) ' cleric leaving clubs ' is the wordplay. ' cleric ' becomes ' anglican '. ' leaving ' suggests deleting specific letters. ' clubs ' becomes ' c ' (abbreviation used in card games such as bridge) . ' anglican ' with ' c ' taken away is ' ANGLIAN '.,anglian
"It cuts tax, giving rise to unbecoming jocularity (6)",' unbecoming jocularity ' is the definition. ' it cuts tax ' is the wordplay. ' cuts ' indicates putting letters inside (some letters cut their way into other letters) . ' tax ' becomes ' levy '  . ' it ' placed into ' levy ' is ' LEVITY '. ' giving rise to ' is the link.,levity
Gradually develop passion for climbing: very English! (6),"' gradually develop ' is the definition.  ' passion for climbing very english ' is the wordplay. ' passion ' becomes ' love ' ('love' can be a synonym of 'passion'**) . ' for climbing ' says the letters should be written in reverse (in a down clue, letters climb up) . ' very ' becomes ' v ' (abbreviation) . ' english ' becomes ' e ' (abbreviation) . ' love ' back-to-front is ' evol '. ' evol '+' v '+' e '=' EVOLVE '",evolve
Old man from the east with little desire for food? (8),' desire for food? ' is the definition.  ' old man from the east with little ' is the wordplay. ' old man ' becomes ' pa ' (both can mean father) . ' from the east ' says the letters should be written in reverse. ' with ' is a charade indicator (letters next to each other). ' little ' becomes ' petite ' ('petite' can be similar in meaning to 'little'**) . ' pa ' written backwards gives ' ap '. ' ap '+' petite '=' APPETITE ',appetite
"Link jam, surprisingly, with starter of unappealing spam (4,4)",' spam ' is the definition. ' link jam surprisingly with starter of unappealing ' is the wordplay. ' surprisingly with ' is an anagram indicator. ' starter of ' indicates taking the first letters. The initial letter of ' u nappealing ' is ' u '. ' link '+' jam '=' linkjam ' ' linkjam ' anagrammed with ' u ' makes ' JUNK MAIL '.,junk mail
Money young lady invested in horse’s strap (10),' strap ' is the definition.  ' money young lady invested in horse's ' is the wordplay. ' money ' becomes ' tin '  . ' young lady ' becomes ' gal ' ('gal' can be a synonym of 'young lady'**) . ' invested in ' is an insertion indicator. ' horse ' becomes ' mare ' (mare is a kind of horse) . ' tin '+' gal '=' tingal ' ' tingal ' put inside ' mare ' is ' MARTINGALE '.,martingale
"Outsider, alternatively one who transfers property (7)",' one who transfers property ' is the definition. The definition suggests a singular noun which matches the answer. ' outsider alternatively ' is the wordplay. ' outsider ' becomes ' alien '  . ' alternatively ' becomes ' or '. ' alien '+' or '=' ALIENOR ',alienor
Cut made by saw initially on wood (5),' cut ' is the definition. (steak is a kind of cut) ' saw initially on wood ' is the wordplay. ' initially ' indicates taking the first letters. ' on ' says to put letters next to each other. ' wood ' becomes ' teak ' (teak is a kind of wood) . The initial letter of ' s aw ' is ' s '. ' s '+' teak '=' STEAK ' ' made by ' is the link.,steak
Solitary type of bank worker on the phone? (5),' solitary type ' is the definition.  ' bank worker on the phone? ' is the wordplay. ' bank worker ' becomes ' loaner ' (someone dealing with loans) . ' on the phone? ' indicates a 'sounds like' (homophone) clue  . ' loaner ' is a homophone of ' LONER '. ' of ' acts as a link.,loner
Helping around inside brings calm (7),' calm ' is the definition. (I know this) ' helping around inside ' is the wordplay. ' helping ' becomes ' plate '. ' around ' becomes ' ca ' (circa) . ' inside ' indicates putting letters inside. ' plate ' going around ' ca ' is ' PLACATE '. ' brings ' is the link.,placate
Star returned in luggage van (4),' star ' is the definition. (Vega is an example) ' returned in luggage van ' is the wordplay. ' returned ' is a reversal indicator. ' in ' indicates the answer is hidden within the clue. ' agev ' is hidden within ' lugg age v an '. ' agev ' back-to-front is ' VEGA '.,vega
"Excelled on range, though not in photo (7)",' excelled on range ' is the definition. ' not in photo ' is the wordplay. ' not in ' becomes ' out ' ('out' is the opposite to 'in') . ' photo ' becomes ' shot ' (shot is a kind of photo) . ' out '+' shot '=' OUTSHOT ' ' though ' is the link.,outshot
"Two trials setting a precedent (4,4)",' a precedent ' is the definition.  ' two trials ' is the wordplay. ' two trials ' can mean two replacements for ' trial '. ' trial ' becomes ' test ' (synonyms) . ' trial ' becomes ' case ' (as in a legal case) . ' test '+' case '=' TEST-CASE ' ' setting ' is the link.,test case
Throw out rogue initially seen in storehouse (6),' throw out ' is the definition. (deporting is a kind of throwing out) ' rogue initially seen in storehouse ' is the wordplay. ' initially ' suggests taking the first letters. ' seen in ' indicates putting letters inside. ' storehouse ' becomes ' depot ' ('depot' can be a synonym of 'storehouse') . The first letter of ' r ogue ' is ' r '. ' r ' going inside ' depot ' is ' DEPORT '.,deport
